"Statistic","Economics League Table 2008 to 2022"
"Variable","Year,Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Graduate Prospects - Outcomes,Graduate Prospects On Track,Research Assessment,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings/economics. © 2021 Complete University Guide Limited. All rights reserved."
""
"Year","Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate Prospects","Graduate Prospects - Outcomes","Graduate Prospects On Track","Research Assessment","Overall Score"
"2008","1","London School of Economics","508","","","","88","","","5*","100.0"
"2008","2","Cambridge","538","","","","92","","","5","98.4"
"2008","3","University College London","477","","","","86","","","5*","98.3"
"2008","4","Warwick","483","","","","86","","","5*","96.7"
"2008","5","Oxford","538","","","","76","","","5","93.8"
"2008","6","Nottingham","481","","","","78","","","5","93.7"
"2008","7","Bath","452","","","","78","","","5","91.1"
"2008","8","Bristol","449","","","","80","","","4","90.7"
"2008","9","Durham","473","","","","80","","","4","90.3"
"2008","10","York","463","","","","66","","","5","89.5"
"2008","11","Southampton","428","","","","68","","","5","88.8"
"2008","12","St Andrews","458","","","","76","","","4","88.6"
"2008","13","Edinburgh","468","","","","74","","","4","88.4"
"2008","14","Exeter","407","","","","70","","","5","87.0"
"2008","15","Royal Holloway, University of London","369","","","","80","","","4","86.3"
"2008","16","Lancaster","374","","","","64","","","5*","86.2"
"2008","17","Birmingham","419","","","","72","","","4","85.9"
"2008","17","Leeds","415","","","","74","","","5","85.9"
"2008","19","SOAS University of London","365","","","","78","","","4","85.6"
"2008","20","Cardiff","382","","","","68","","","5","85.5"
"2008","21","Surrey","315","","","","84","","","3a","84.3"
"2008","22","Essex","323","","","","64","","","5*","84.2"
"2008","23","Glasgow","400","","","","66","","","4","83.5"
"2008","24","Leicester","360","","","","62","","","5","82.9"
"2008","25","Aberdeen","406","","","","66","","","3a","82.6"
"2008","25","Hull","343","","","","78","","","4","82.6"
"2008","27","Loughborough","377","","","","72","","","3a","82.2"
"2008","28","Sussex","364","","","","66","","","4","82.1"
"2008","29","Newcastle","388","","","","70","","","4","82.0"
"2008","30","Manchester","411","","","","56","","","4","81.0"
"2008","31","Queen Mary, University of London","348","","","","56","","","5","80.7"
"2008","32","Queen's, Belfast","366","","","","60","","","4","80.4"
"2008","32","Reading","347","","","","64","","","5","80.4"
"2008","34","Kent","304","","","","60","","","4","79.4"
"2008","35","City, University of London","329","","","","68","","","3a","79.2"
"2008","35","Stirling","301","","","","60","","","4","79.2"
"2008","37","Liverpool","346","","","","58","","","4","79.1"
"2008","38","Strathclyde","413","","","","56","","","4","79.0"
"2008","39","East Anglia (UEA)","357","","","","54","","","4","78.4"
"2008","39","Keele","312","","","","64","","","3a","78.4"
"2008","41","Swansea","260","","","","60","","","4","77.7"
"2008","42","Sheffield","377","","","","56","","","3a","77.6"
"2008","43","Dundee","354","","","","54","","","3a","77.1"
"2008","44","Brunel University London","299","","","","52","","","4","76.9"
"2008","45","Ulster","265","","","","58","","","4","73.9"
"2008","46","Anglia Ruskin","","","","","72","","","2","72.5"
"2008","47","Portsmouth","223","","","","58","","","4","72.3"
"2008","48","Manchester Metropolitan","254","","","","58","","","3a","71.7"
"2008","49","Salford","318","","","","40","","","3a","70.7"
"2008","50","Bradford","196","","","","72","","","3b","70.4"
"2008","51","East London","","","","","58","","","3a","70.1"
"2008","52","Heriot-Watt","345","","","","40","","","4","69.3"
"2008","53","Aberystwyth","267","","","","52","","","3b","68.8"
"2008","53","Nottingham Trent","246","","","","60","","","3b","68.8"
"2008","55","Leeds Metropolitan","258","","","","60","","","","65.9"
"2008","56","Hertfordshire","206","","","","42","","","3a","65.3"
"2008","57","Plymouth","201","","","","56","","","3b","64.5"
"2008","58","Northumbria","297","","","","40","","","3b","63.5"
"2008","59","Kingston","177","","","","60","","","","62.8"
"2008","60","West of England, Bristol","215","","","","54","","","","62.5"
"2008","61","Middlesex","172","","","","58","","","","62.0"
"2008","62","Coventry","260","","","","46","","","","61.9"
"2008","63","Liverpool John Moores","223","","","","46","","","","60.5"
"2008","64","Greenwich","194","","","","42","","","3b","60.2"
"2009","1","Cambridge","540","","","","94","","","5","100.0"
"2009","2","London School of Economics","513","3.76","","","90","","","5*","97.1"
"2009","3","University College London","465","3.63","","","88","","","5*","94.9"
"2009","4","Warwick","477","3.64","","","90","","","5*","94.4"
"2009","5","Oxford","519","3.97","","","84","","","5","93.8"
"2009","6","Nottingham","457","3.49","","","80","","","5","90.6"
"2009","7","Bristol","461","3.58","","","84","","","4","90.2"
"2009","8","Durham","463","3.78","","","82","","","4","89.6"
"2009","9","St Andrews","474","3.80","","","80","","","4","89.5"
"2009","10","Bath","442","3.55","","","78","","","5","88.9"
"2009","11","York","451","3.48","","","72","","","5","88.7"
"2009","12","Birmingham","408","4.25","","","76","","","4","88.6"
"2009","13","Exeter","400","4.09","","","72","","","5","88.5"
"2009","14","Southampton","405","3.44","","","76","","","5","88.2"
"2009","15","Edinburgh","487","3.46","","","76","","","4","87.8"
"2009","15","Lancaster","399","3.63","","","70","","","5*","87.8"
"2009","17","Glasgow","457","3.87","","","70","","","4","87.2"
"2009","18","SOAS University of London","368","3.69","","","80","","","4","86.3"
"2009","19","Essex","344","3.83","","","64","","","5*","85.8"
"2009","20","Sussex","353","4.00","","","74","","","4","85.7"
"2009","21","East Anglia (UEA)","329","4.22","","","72","","","4","85.5"
"2009","22","Royal Holloway, University of London","349","3.66","","","78","","","4","85.3"
"2009","23","Cardiff","400","3.61","","","64","","","5","84.9"
"2009","23","Leeds","414","3.53","","","72","","","5","84.9"
"2009","25","Loughborough","377","4.04","","","72","","","3a","84.5"
"2009","26","Surrey","287","3.71","","","84","","","3a","84.3"
"2009","27","Leicester","327","4.07","","","62","","","5","84.2"
"2009","27","Newcastle","396","3.47","","","78","","","4","84.2"
"2009","29","Keele","280","","","","82","","","3a","84.1"
"2009","30","Aberdeen","379","3.68","","","70","","","3a","83.6"
"2009","31","Queen Mary, University of London","352","3.46","","","66","","","5","83.5"
"2009","31","Strathclyde","509","","","","56","","","4","83.5"
"2009","33","Liverpool","371","","","","64","","","4","83.1"
"2009","34","Kent","284","","","","68","","","4","82.4"
"2009","35","Hull","282","3.75","","","76","","","4","81.8"
"2009","36","Manchester","400","3.53","","","58","","","4","81.7"
"2009","37","Sheffield","369","3.63","","","66","","","3a","81.5"
"2009","38","Reading","321","3.50","","","66","","","5","81.0"
"2009","38","Stirling","293","","","","62","","","4","81.0"
"2009","40","City, University of London","334","3.43","","","70","","","3a","80.7"
"2009","41","Dundee","393","3.71","","","50","","","3a","79.7"
"2009","41","Queen's, Belfast","347","3.49","","","56","","","4","79.7"
"2009","43","Brunel University London","307","3.26","","","60","","","4","79.6"
"2009","44","Swansea","281","","","","58","","","4","79.4"
"2009","45","Heriot-Watt","341","","","","68","","","4","78.7"
"2009","46","Ulster","287","3.78","","","54","","","4","77.2"
"2009","47","Portsmouth","243","3.85","","","56","","","4","76.7"
"2009","48","Manchester Metropolitan","263","","","","64","","","3a","75.5"
"2009","49","Salford","273","","","","52","","","3a","74.0"
"2009","50","Nottingham Trent","229","","","","72","","","3b","73.6"
"2009","51","Coventry","235","4.03","","","66","","","","73.3"
"2009","51","Hertfordshire","219","3.56","","","54","","","3a","73.3"
"2009","53","Liverpool John Moores","242","3.72","","","68","","","","72.8"
"2009","54","Oxford Brookes","299","3.67","","","","","","","71.5"
"2009","55","Bradford","203","","","","68","","","3b","71.4"
"2009","56","East London","186","","","","64","","","3a","70.9"
"2009","57","Northumbria","272","","","","60","","","3b","70.1"
"2009","58","West of England, Bristol","242","3.92","","","52","","","","70.0"
"2009","59","Leeds Metropolitan","236","3.57","","","56","","","","69.4"
"2009","60","Aberystwyth","281","","","","44","","","3b","68.6"
"2009","60","Middlesex","176","3.30","","","64","","","","68.6"
"2009","62","Greenwich","196","3.65","","","46","","","3b","67.9"
"2009","63","Kingston","182","3.46","","","56","","","","67.6"
"2009","64","Plymouth","232","","","","50","","","3b","65.7"
"2010","1","Oxford","538","4.12","3.35","","90","","","","100.0"
"2010","2","Cambridge","554","4.02","3.05","","94","","","","99.8"
"2010","3","London School of Economics","523","3.73","3.55","","90","","","","98.9"
"2010","4","University College London","488","3.79","3.50","","88","","","","97.7"
"2010","4","Warwick","499","3.75","3.35","","90","","","","97.7"
"2010","6","St Andrews","475","4.23","2.70","","84","","","","95.3"
"2010","7","Durham","491","3.91","2.65","","88","","","","95.2"
"2010","8","Nottingham","468","3.73","3.15","","84","","","","94.9"
"2010","9","Bristol","457","3.64","3.15","","86","","","","94.7"
"2010","10","Bath","454","3.57","2.95","","86","","","","93.7"
"2010","11","Edinburgh","450","3.69","2.95","","82","","","","93.2"
"2010","12","Southampton","422","3.78","3.00","","80","","","","92.6"
"2010","13","Birmingham","403","4.23","2.75","","78","","","","92.5"
"2010","13","Exeter","386","4.27","2.95","","76","","","","92.5"
"2010","15","York","457","3.85","2.87","","72","","","","91.6"
"2010","16","Surrey","329","4.27","2.80","","80","","","","91.4"
"2010","17","Royal Holloway, University of London","370","3.78","3.00","","80","","","","91.3"
"2010","18","Glasgow","414","3.88","3.00","","72","","","","91.1"
"2010","19","Lancaster","423","3.88","2.95","","70","","","","90.7"
"2010","20","Essex","325","3.88","3.35","","74","","","","90.6"
"2010","20","Newcastle","417","3.75","2.50","","80","","","","90.6"
"2010","22","Queen Mary, University of London","370","3.61","3.15","","76","","","","90.4"
"2010","22","Sheffield","372","4.06","2.80","","74","","","","90.4"
"2010","24","Leicester","320","4.22","2.90","","72","","","","89.7"
"2010","24","Loughborough","378","4.03","2.45","","76","","","","89.7"
"2010","24","Strathclyde","442","3.81","2.85","","66","","","","89.7"
"2010","27","Kent","306","4.15","2.90","","74","","","","89.5"
"2010","28","Liverpool","385","3.85","2.45","","76","","","","89.2"
"2010","28","Sussex","345","4.12","2.70","","72","","","","89.2"
"2010","30","East Anglia (UEA)","332","4.15","2.75","","70","","","","88.8"
"2010","31","Cardiff","398","3.76","3.00","","64","","","","88.6"
"2010","32","Manchester","408","3.59","3.05","","64","","","","88.4"
"2010","33","Heriot-Watt","328","","2.40","","76","","","","88.0"
"2010","34","Aberdeen","344","4.02","2.85","","64","","","","87.7"
"2010","35","Keele","284","3.70","2.30","","82","","","","87.0"
"2010","36","Swansea","277","3.89","2.75","","72","","","","86.9"
"2010","37","City, University of London","328","3.53","2.65","","72","","","","86.5"
"2010","38","Brunel University London","311","3.61","2.65","","66","","","","85.1"
"2010","38","Leeds","418","3.69","","","72","","","","85.1"
"2010","40","SOAS University of London","390","3.69","","","74","","","","84.8"
"2010","41","Hull","283","3.91","","","80","","","","84.3"
"2010","42","Dundee","337","3.84","2.45","","58","","","","84.2"
"2010","43","Stirling","293","3.87","2.75","","56","","","","83.8"
"2010","44","Northumbria","274","3.65","1.80","","74","","","","83.1"
"2010","44","West of England, Bristol","248","3.83","2.15","","68","","","","83.1"
"2010","46","Brighton","251","3.71","2.30","","","","","","83.0"
"2010","47","Nottingham Trent","264","3.99","","","74","","","","82.9"
"2010","48","Oxford Brookes","289","3.97","1.95","","62","","","","82.6"
"2010","48","Ulster","254","3.69","2.25","","66","","","","82.6"
"2010","50","Portsmouth","249","3.72","2.10","","68","","","","82.5"
"2010","51","Coventry","245","4.23","","","70","","","","82.4"
"2010","52","Aberystwyth","249","4.10","1.95","","62","","","","82.1"
"2010","53","Queen's, Belfast","355","3.71","","","64","","","","81.9"
"2010","53","Reading","348","3.74","","","64","","","","81.9"
"2010","55","Middlesex","167","4.17","","","68","","","","79.9"
"2010","55","Staffordshire","199","3.76","1.95","","","","","","79.9"
"2010","57","Manchester Metropolitan","259","","1.70","","66","","","","79.6"
"2010","58","Hertfordshire","233","3.61","2.15","","56","","","","79.3"
"2010","59","Leeds Metropolitan","278","3.60","","","60","","","","78.8"
"2010","60","Plymouth","241","3.71","2.05","","52","","","","78.7"
"2010","61","Birmingham City","","3.33","1.65","","","","","","78.3"
"2010","62","Liverpool John Moores","221","3.70","1.45","","62","","","","78.2"
"2010","63","Kingston","191","3.88","2.00","","52","","","","77.9"
"2010","64","Bradford","239","3.89","","","54","","","","77.6"
"2010","64","Salford","249","3.69","","","56","","","","77.6"
"2010","66","East London","193","3.95","","","52","","","","76.3"
"2010","67","Greenwich","191","4.14","1.75","","42","","","","75.9"
"2011","1","Oxford","542","","3.35","","88","","","","100.0"
"2011","2","London School of Economics","556","3.73","3.55","","90","","","","96.6"
"2011","3","Cambridge","561","3.93","3.05","","88","","","","95.3"
"2011","4","Warwick","518","3.85","3.35","","88","","","","94.9"
"2011","5","University College London","495","3.82","3.50","","86","","","","94.3"
"2011","6","Durham","505","3.90","2.65","","90","","","","92.6"
"2011","7","Bath","483","3.86","2.95","","88","","","","92.5"
"2011","8","Nottingham","478","3.83","3.15","","84","","","","92.1"
"2011","9","St Andrews","462","4.00","2.70","","88","","","","91.6"
"2011","10","Bristol","451","3.71","3.15","","82","","","","90.4"
"2011","11","Southampton","425","3.81","3.00","","80","","","","89.2"
"2011","12","Edinburgh","446","3.65","2.95","","80","","","","88.8"
"2011","12","Exeter","426","4.03","2.95","","74","","","","88.8"
"2011","14","York","440","4.05","2.87","","70","","","","88.1"
"2011","15","Glasgow","418","3.87","3.00","","74","","","","88.0"
"2011","15","Leeds","427","3.75","2.85","","78","","","","88.0"
"2011","15","Royal Holloway, University of London","386","3.79","3.00","","80","","","","88.0"
"2011","18","Birmingham","412","4.05","2.75","","74","","","","87.8"
"2011","19","Surrey","363","4.27","2.80","","74","","","","87.6"
"2011","20","Lancaster","417","3.80","2.95","","74","","","","87.5"
