,Year,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,Actual value,Response
0,2012,0.02,0.09,0.08,0.64,0.17,0.81,241
1,2013,0.0,0.07,0.11,0.56,0.25,0.81,347
2,2014,0.0,0.05,0.08,0.69,0.18,0.87,344
3,2015,0.01,0.04,0.11,0.62,0.22,0.84,410
4,2016,0.02,0.08,0.14,0.58,0.18,0.76,458
5,2017,0.03,0.07,0.16,0.6,0.15,0.75,414
6,2018,0.018,0.0951,0.1514,0.6224,0.1132,0.7355,499
7,2019,0.0281,0.0886,0.1194,0.6025,0.1615,0.764,477
8,2020,0.0233,0.0398,0.0745,0.6261,0.2362,0.8623,460
9,2021,0.0214,0.0514,0.1013,0.5521,0.2738,0.8259,515
