,Year,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,Actual value,Response
0,2012,0.02,0.05,0.07,0.6,0.26,0.86,760
1,2013,0.01,0.05,0.08,0.58,0.29,0.86,761
2,2014,0.01,0.04,0.07,0.66,0.22,0.88,783
3,2015,0.02,0.05,0.09,0.59,0.26,0.85,781
4,2016,0.01,0.07,0.1,0.59,0.23,0.82,912
5,2017,0.02,0.06,0.12,0.6,0.21,0.81,944
6,2018,0.0231,0.0753,0.1216,0.619,0.161,0.78,1168
7,2019,0.0144,0.0677,0.0957,0.6155,0.2067,0.8222,1108
8,2020,0.0145,0.0444,0.0675,0.6066,0.2671,0.8737,1037
9,2021,0.0207,0.0474,0.0732,0.5573,0.3015,0.8587,1161
