,Year,Rating
0,22,4
1,22,4
2,22,4
3,22,4
4,22,4
5,22,4
6,22,4
7,22,4
8,22,4
9,22,4
10,22,3
11,22,3
12,22,3
13,22,3
14,22,3
15,22,3
16,22,3
17,22,3
18,22,3
19,22,3
20,22,3
21,22,3
22,22,3
23,22,3
24,22,3
25,22,3
26,22,3
27,22,3
28,22,3
29,22,3
30,22,5
31,22,5
32,22,5
33,22,5
34,22,5
35,22,5
36,22,5
37,22,5
38,22,5
39,22,5
40,22,5
41,22,5
42,22,5
43,22,5
44,22,5
45,22,5
46,22,5
47,22,5
48,22,5
49,22,5
50,22,4
51,22,4
52,22,4
53,22,4
54,22,4
55,22,4
56,22,4
57,22,4
58,22,4
59,22,4
60,22,2
61,22,2
62,22,2
63,22,2
64,22,2
65,22,2
66,22,2
67,22,2
68,22,2
69,22,2
70,22,3
71,22,3
72,22,3
73,22,3
74,22,3
75,22,3
76,22,3
77,22,3
78,22,3
79,22,3
80,22,4
81,22,4
82,22,4
83,22,4
84,22,4
85,22,4
86,22,4
87,22,4
88,22,4
89,22,4
90,22,4
91,22,4
92,22,4
93,22,4
94,22,4
95,22,4
96,22,4
97,22,4
98,22,4
99,22,4
100,22,5
101,22,5
102,22,5
103,22,5
104,22,5
105,22,5
106,22,5
107,22,5
108,22,5
109,22,5
110,22,2
111,22,2
112,22,2
113,22,2
114,22,2
115,22,2
116,22,2
117,22,2
118,22,2
119,22,2
120,22,4
121,22,4
122,22,4
123,22,4
124,22,4
125,22,4
126,22,4
127,22,4
128,22,4
129,22,4
130,22,4
131,22,4
132,22,4
133,22,4
134,22,4
135,22,4
136,22,4
137,22,4
138,22,4
139,22,4
140,22,5
141,22,5
142,22,5
143,22,5
144,22,5
145,22,5
146,22,5
147,22,5
148,22,5
149,22,5
150,22,5
151,22,5
152,22,5
153,22,5
154,22,5
155,22,5
156,22,5
157,22,5
158,22,5
159,22,5
160,22,3
161,22,3
162,22,3
163,22,3
164,22,3
165,22,3
166,22,3
167,22,3
168,22,3
169,22,3
170,22,4
171,22,4
172,22,4
173,22,4
174,22,4
175,22,4
176,22,4
177,22,4
178,22,4
179,22,4
180,22,4
181,22,4
182,21,2
183,21,5
184,21,3
185,21,4
186,21,3
187,21,5
188,21,5
189,21,4
190,21,4
191,21,3
192,20,4
193,20,5
194,20,4
195,20,5
196,20,5
197,20,5
198,20,5
199,20,4
200,20,4
201,20,3
202,20,4
203,20,4
204,20,5
205,20,5
206,20,3
207,20,3
208,20,4
209,20,3
210,20,4
211,20,4
212,20,5
213,20,3
214,20,4
215,20,3
216,20,5
217,20,4
218,20,4
219,20,5
220,20,4
221,20,5
222,20,3
223,20,3
224,20,3
225,20,4
226,20,5
227,20,5
228,20,5
229,20,5
230,20,5
231,20,4
232,20,5
233,20,4
234,20,5
235,20,2
236,20,5
237,20,4
238,20,3
239,18,4
240,18,4
241,18,4
